GAME,RADIANT,RADIANT_KILLS,RADIANT_DEATHS,RADIANT_ASSISTS,HEROES,RADIANT_DAMAGE,DIRE,DIRE_KILLS,DIRE_DEATHS,DIRE_ASSISTS,DIRE_DAMAGE,WINNING_PLAYERS
,Remia,25,3,18,faceless,63754,Bsu,18,7,15,54576,Remia
,Winner: ,Radiant,,,,,,,,,,
58,nanoir,2,6,4,lich,10328,Bsu,12,0,7,49641,Bsu
,Remia,5,3,6,ursa,12080,Monta,5,1,10,16630,Monta
,Yoshioka,4,4,2,sf,9925,pain peko,2,6,12,6750,pain peko
,Nixnala,1,4,8,centaur,11391,LISA,3,4,10,9479,LISA
,Miyuki,4,6,8,oracle,7391,Paper,1,5,9,6592,Paper
,Winner: ,Dire,,,,,,,,,,
59,Yoshioka,11,2,26,zeus,101649,Lostwhale,0,13,15,14819,Yoshioka
,Nixnala,6,13,21,underlord,31725,geese,12,18,16,38214,Nixnala
,dream,21,4,12,jugg,41890,Bsu,16,4,8,54781,dream
,Remia,5,13,27,pudge,27133,tpham,8,6,15,33480,Remia
,pain peko,8,7,16,hoodwink,26351,LISA,3,12,12,12765,pain peko
,Winner: ,Radiant,,,,,,,,,,
60,pain peko,3,3,24,hoodwink,17286,Yoshioka,1,2,7,13473,pain peko
,Miyuki,3,3,20,lich,8963,Lostwhale,6,11,5,16891,Miyuki
,Remia,12,3,14,luna,32237,dream,4,9,2,21674,Remia
,Nixnala,11,6,13,axe,17035,geese,1,11,10,10460,Nixnala
,Bsu,10,2,18,invoker,25750,tpham,4,6,6,11303,Bsu
,Winner: ,Radiant,,,,,,,,,,
61,tpham,6,0,10,razor,17661,Yoshioka,1,2,5,8314,tpham
,dream,9,1,6,tb,16714,pain peko,2,6,9,4824,dream
,Remia,5,5,15,pudge,12080,Miyuki,5,8,3,13345,Remia
,Nixnala,3,6,20,centaur,19179,Lostwhale,2,8,3,10228,Nixnala
,Paper,7,4,14,aa,12698,Bsu,6,6,4,23450,Paper
